Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.000    0.000   92.033   46.017 I:\##VISHESH##\pp python project\bill_generator_with_changes.py:495(print_bill)
        6    0.000    0.000    0.006    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:1919(format)
       76    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:294(read_tag)
       54    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:88(split)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1527(find_spec)
        2    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:270(getDifferences)
       88    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:730(stringWidth)
        8    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:672(_getFragWords)
      401    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      294    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:689(getFont)
       24    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\gettext.py:348(install)
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
